brandName_0_lang,brandName_0_value,brandName_1_lang,brandName_1_value,brandName_2_lang,brandName_2_value,gpcCode,gtin,netContent_0_measurementUnitCode,netContent_0_quantity,netContent_1_measurementUnitCode,netContent_1_quantity,netContent_2_measurementUnitCode,netContent_2_quantity,netContent_3_measurementUnitCode,netContent_3_quantity,netContent_4_measurementUnitCode,netContent_4_quantity,status,targetMarketCountryCode_0,targetMarketCountryCode_1,targetMarketCountryCode_2,tradeItemDescription_0_lang,tradeItemDescription_0_value,tradeItemDescription_1_lang,tradeItemDescription_1_value,tradeItemDescription_2_lang,tradeItemDescription_2_value,tradeItemImageUrl_0_lang,tradeItemImageUrl_0_value,tradeItemImageUrl_1_lang,tradeItemImageUrl_1_value,tradeItemImageUrl_2_lang,tradeItemImageUrl_2_value
en-US,Pantene,,,,,10000346,00080878186167,ONZ,6,GRM,170,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Sheer Volume Foam Conditioner, 6 oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80306815_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186174,ONZ,6,GRM,170,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Radiant Color Shine Foam Conditioner, 6 oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80306818_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186198,ONZ,6,GRM,170,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Daily Moisture Renewal Foam Conditioner, 6 oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80306829_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186204,ONZ,6,GRM,170,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Classic Clean Foam Conditioner, 6 oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80307253_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878186426,OZA,10.1,MLT,300,,,,,,,ACTIVE,US,,,en-US,Pantene Pro-V Blends Micellar Shampoo Gentle Cleansing Water 10.1 fl oz,,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80312848_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186433,OZA,10.1,MLT,300,,,,,,,ACTIVE,US,,,en-US,Pantene Pro-V Blends Micellar Conditioner Gentle Moisturizing Milk 10.1 fl oz,,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80312849_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878186440,OZA,17.9,MLT,530,,,,,,,ACTIVE,US,,,en-US,Pantene Pro-V Blends Micellar Shampoo Gentle Cleansing Water 17.9 fl oz,,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80312850_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186457,OZA,17.9,MLT,530,,,,,,,ACTIVE,US,,,en-US,Pantene Pro-V Blends Micellar Conditioner Gentle Moisturizing Milk 17.9 fl oz,,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80312851_master_preview,,,,
en-US,Pantene,,,,,10000381,00080878186709,ONZ,2.6,GRM,75,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Gold Series Edge Tamer Treatment, Edge Control with Argan Oil, Smooth Finish, 3.2 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80314379_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186723,OZA,6.4,MLT,190,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Gold Series Thermal Heat Protector Infused with Argan Oil, 6.4 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80314381_master_preview,,,,
